id,output_entity_id,input_entity_id,relation_type,connectivity,frequency
525,iodata_198,step_62,transfer,1,10
526,step_20,step_31,invoke,1,32
528,iodata_198,step_31,transfer,1,9
529,step_62,step_31,invoke,1,200
530,step_62,iodata_200,transfer,1,58
531,iodata_200,step_31,transfer,1,16
538,"iodata_[110, 111]",step_20,transfer,1,45
539,iodata_196,step_20,transfer,1,2
540,iodata_29,step_20,transfer,1,2
542,iodata_199,step_62,transfer,1,16
544,iodata_199,step_31,transfer,1,2
546,iodata_203,step_31,transfer,1,49
547,step_31,iodata_203,transfer,1,134
566,step_15,step_68,invoke,1,1
567,step_15,iodata_214,transfer,1,65
568,iodata_214,step_68,transfer,1,2
569,step_15,step_29,invoke,1,9
571,iodata_214,step_29,transfer,1,8
572,step_66,step_6,invoke,1,9
573,step_66,iodata_62,transfer,1,64
574,iodata_62,step_6,transfer,1,12
575,step_15,step_6,invoke,1,2
577,iodata_214,step_6,transfer,1,5
578,iodata_207,step_66,transfer,1,12
579,iodata_4,step_66,transfer,1,19
580,iodata_209,step_66,transfer,1,1
582,iodata_207,step_15,transfer,1,6
583,iodata_4,step_15,transfer,1,5
584,iodata_209,step_15,transfer,1,1
587,iodata_209,step_68,transfer,1,1
588,step_68,iodata_217,transfer,1,3
590,iodata_217,step_29,transfer,1,127
591,step_29,iodata_142,transfer,1,45
612,step_72,step_29,invoke,1,11
613,step_72,"iodata_[231, 233]",transfer,1,5
614,"iodata_[231, 233]",step_29,transfer,1,5
615,step_72,step_74,invoke,1,2
617,"iodata_[231, 233]",step_74,transfer,1,7
618,step_74,step_75,invoke,1,1
619,step_74,"iodata_[236, 237]",transfer,1,25
620,"iodata_[236, 237]",step_75,transfer,1,3
623,"iodata_[236, 237]",step_74,transfer,1,16
624,"iodata_[231, 233]",step_7,transfer,1,1
625,iodata_225,step_7,transfer,1,1
626,step_7,iodata_226,transfer,1,2
627,step_7,iodata_227,transfer,1,8
628,iodata_54,step_72,transfer,1,27
630,iodata_225,step_72,transfer,1,1
632,iodata_232,step_29,transfer,1,5
633,step_29,iodata_234,transfer,1,9
635,iodata_225,step_75,transfer,1,1
636,step_75,iodata_203,transfer,1,5
637,iodata_225,step_74,transfer,1,1
638,iodata_20,step_74,transfer,1,1
639,step_74,iodata_243,transfer,1,1
661,step_17,step_80,invoke,1,3
662,step_17,iodata_245,transfer,1,28
663,iodata_245,step_80,transfer,1,2
664,step_78,step_80,invoke,1,2
665,step_78,"iodata_[13, 14]",transfer,1,2
666,"iodata_[13, 14]",step_80,transfer,1,5
668,step_78,iodata_249,transfer,1,2
669,iodata_249,step_80,transfer,1,1
670,step_31,step_83,invoke,1,1
671,step_31,iodata_245,transfer,1,273
672,iodata_245,step_83,transfer,1,1
673,step_78,step_83,invoke,1,1
674,step_78,iodata_255,transfer,1,13
675,iodata_255,step_83,transfer,1,1
676,step_80,step_3,invoke,1,6
677,step_80,iodata_251,transfer,1,154
678,iodata_251,step_3,transfer,1,28
679,step_31,step_85,invoke,1,1
681,iodata_245,step_85,transfer,1,1
682,step_78,step_85,invoke,1,1
684,iodata_255,step_85,transfer,1,1
685,step_83,step_85,invoke,1,1
686,step_83,iodata_249,transfer,1,2
687,iodata_249,step_85,transfer,1,1
688,iodata_31,step_17,transfer,1,55
690,iodata_31,step_78,transfer,1,23
694,iodata_31,step_80,transfer,1,98
696,iodata_252,step_31,transfer,1,23
698,iodata_252,step_78,transfer,1,2
700,iodata_252,step_83,transfer,1,1
702,iodata_258,step_3,transfer,1,2
703,iodata_31,step_3,transfer,1,332
704,step_3,iodata_31,transfer,1,362
705,iodata_258,step_85,transfer,1,1
706,iodata_252,step_85,transfer,1,2
707,step_85,iodata_263,transfer,1,2
729,step_86,step_88,invoke,1,1
730,step_86,"iodata_[266, 270]",transfer,1,2
731,"iodata_[266, 270]",step_88,transfer,1,2
734,step_88,step_89,invoke,1,1
735,step_88,"iodata_[271, 272]",transfer,1,5
736,"iodata_[271, 272]",step_89,transfer,1,1
737,step_87,step_90,invoke,1,1
738,step_87,"iodata_[269, 275]",transfer,1,1
739,"iodata_[269, 275]",step_90,transfer,1,1
740,step_88,step_91,invoke,1,1
742,"iodata_[271, 272]",step_91,transfer,1,1
743,step_90,step_91,invoke,1,1
744,iodata_264,step_86,transfer,1,1
745,iodata_265,step_86,transfer,1,1
746,iodata_268,step_87,transfer,1,1
747,step_89,iodata_273,transfer,1,7
748,"iodata_[271, 272]",step_90,transfer,1,1
749,step_90,iodata_276,transfer,1,1
750,step_90,iodata_277,transfer,1,1
751,step_90,iodata_278,transfer,1,1
752,"iodata_[266, 270]",step_91,transfer,1,1
753,step_91,iodata_281,transfer,1,1
754,step_91,iodata_282,transfer,1,1
777,step_92,step_93,invoke,1,2
778,step_92,iodata_284,transfer,1,2
779,iodata_284,step_93,transfer,1,1
780,step_93,step_94,invoke,1,2
781,step_93,iodata_285,transfer,1,12
782,iodata_285,step_94,transfer,1,4
783,step_93,step_95,invoke,1,2
785,iodata_285,step_95,transfer,1,4
786,step_95,step_96,invoke,1,1
787,step_95,iodata_292,transfer,1,3
788,iodata_292,step_96,transfer,1,1
789,step_96,step_22,invoke,1,1
790,step_96,"iodata_[294, 295]",transfer,1,1
791,"iodata_[294, 295]",step_22,transfer,1,2
792,step_93,step_98,invoke,1,1
794,iodata_285,step_98,transfer,1,1
795,step_95,step_98,invoke,1,1
797,iodata_292,step_98,transfer,1,1
798,step_93,step_99,invoke,1,1
800,iodata_285,step_99,transfer,1,2
801,step_98,step_99,invoke,1,1
802,step_98,"iodata_[158, 159]",transfer,1,7
803,"iodata_[158, 159]",step_99,transfer,1,1
804,iodata_283,step_92,transfer,1,1
806,iodata_285,step_93,transfer,1,8
807,iodata_227,step_93,transfer,1,1
810,step_94,iodata_289,transfer,1,3
812,iodata_291,step_95,transfer,1,2
814,iodata_285,step_96,transfer,1,1
815,iodata_227,step_22,transfer,1,22
816,step_22,iodata_297,transfer,1,3
817,iodata_298,step_98,transfer,1,1
819,step_99,iodata_302,transfer,1,2
841,step_100,step_101,invoke,1,1
842,step_100,iodata_305,transfer,1,24
843,iodata_305,step_101,transfer,1,1
844,step_102,step_103,invoke,1,87
845,step_102,"iodata_[312, 313]",transfer,1,80
846,"iodata_[312, 313]",step_103,transfer,1,74
847,step_103,step_104,invoke,1,109
848,step_103,iodata_315,transfer,1,4
849,iodata_315,step_104,transfer,1,3
850,"iodata_[110, 111]",step_100,transfer,1,28
851,iodata_2,step_100,transfer,1,10
853,iodata_306,step_101,transfer,1,3
854,iodata_175,step_101,transfer,1,3
855,iodata_17,step_101,transfer,1,3
856,step_101,iodata_309,transfer,1,12
857,iodata_309,step_102,transfer,1,1
858,iodata_311,step_102,transfer,1,10
859,iodata_314,step_103,transfer,1,1
861,iodata_309,step_104,transfer,1,1
862,iodata_317,step_104,transfer,1,3
863,step_104,iodata_315,transfer,1,1
883,step_30,step_100,invoke,1,4
886,step_100,step_31,invoke,1,11
887,step_100,iodata_325,transfer,1,4
888,iodata_325,step_31,transfer,1,3
893,step_31,iodata_62,transfer,1,362
894,iodata_62,step_31,transfer,1,106
898,step_100,step_110,invoke,1,1
900,iodata_325,step_110,transfer,1,1
902,iodata_320,step_30,transfer,1,1
904,iodata_324,step_100,transfer,1,1
906,iodata_326,step_31,transfer,1,18
912,iodata_326,step_110,transfer,1,3
913,step_110,iodata_333,transfer,1,9
935,step_112,step_114,invoke,1,2
936,step_112,"iodata_[231, 233]",transfer,1,32
937,"iodata_[231, 233]",step_114,transfer,1,2
938,step_113,step_114,invoke,1,1
939,step_113,"iodata_[110, 111]",transfer,1,1
940,"iodata_[110, 111]",step_114,transfer,1,9
941,step_114,step_115,invoke,1,3
942,step_114,"iodata_[342, 343]",transfer,1,6
943,"iodata_[342, 343]",step_115,transfer,1,2
944,step_114,step_116,invoke,1,2
946,"iodata_[342, 343]",step_116,transfer,1,4
948,step_116,iodata_346,transfer,1,9
949,iodata_346,step_116,transfer,1,2
950,step_114,step_118,invoke,1,1
951,step_114,iodata_71,transfer,1,8
952,iodata_71,step_118,transfer,1,1
956,"iodata_[231, 233]",step_112,transfer,1,22
957,iodata_337,step_112,transfer,1,1
958,"iodata_[231, 233]",step_113,transfer,1,2
960,step_115,iodata_344,transfer,1,5
962,iodata_339,step_116,transfer,1,1
964,step_118,iodata_217,transfer,1,1
965,iodata_217,step_115,transfer,1,1
989,step_120,step_122,invoke,1,2
990,step_120,iodata_31,transfer,1,12
991,iodata_31,step_122,transfer,1,3
992,step_122,step_123,invoke,1,1
993,step_122,"iodata_[360, 361]",transfer,1,3
994,"iodata_[360, 361]",step_123,transfer,1,1
995,step_123,step_124,invoke,1,1
996,step_123,iodata_333,transfer,1,1
997,iodata_333,step_124,transfer,1,1
998,step_122,step_29,invoke,1,2
1000,"iodata_[360, 361]",step_29,transfer,1,2
1001,step_123,step_29,invoke,1,1
1002,step_123,iodata_362,transfer,1,3
1003,iodata_362,step_29,transfer,1,1
1004,iodata_31,step_120,transfer,1,41
1005,iodata_163,step_120,transfer,1,3
1006,iodata_4,step_120,transfer,1,34
1008,"iodata_[13, 14]",step_121,transfer,1,2
1009,step_121,iodata_251,transfer,1,6
1010,iodata_251,step_122,transfer,1,1
1013,step_124,iodata_364,transfer,1,2
1014,iodata_365,step_29,transfer,1,13
1015,iodata_163,step_29,transfer,1,5
1016,step_29,iodata_121,transfer,1,257
1017,step_29,iodata_368,transfer,1,3
1039,step_29,step_127,invoke,1,1
1040,step_29,iodata_372,transfer,1,4
1041,iodata_372,step_127,transfer,1,1
1042,step_29,step_128,invoke,1,3
1044,iodata_372,step_128,transfer,1,1
1046,step_127,"iodata_[375, 381]",transfer,1,6
1047,"iodata_[375, 381]",step_127,transfer,1,5
1048,step_128,step_130,invoke,1,1
1049,step_128,iodata_380,transfer,1,3
1050,iodata_380,step_130,transfer,1,1
1051,iodata_2,step_29,transfer,1,36
1052,iodata_207,step_29,transfer,1,4
1056,iodata_2,step_127,transfer,1,1
1057,"iodata_[375, 381]",step_128,transfer,1,1
1058,iodata_2,step_128,transfer,1,16
1059,iodata_378,step_128,transfer,1,1
1060,iodata_175,step_128,transfer,1,17
1062,iodata_20,step_127,transfer,1,2
1063,step_127,iodata_383,transfer,1,1
1064,iodata_337,step_130,transfer,1,1
1065,iodata_207,step_130,transfer,1,1
1066,iodata_4,step_130,transfer,1,1
1067,iodata_128,step_130,transfer,1,1
1068,step_130,iodata_380,transfer,1,1
1089,step_131,step_132,invoke,1,1
1090,step_131,iodata_389,transfer,1,2
1091,iodata_389,step_132,transfer,1,2
1092,step_133,step_137,invoke,1,1
1093,step_133,iodata_394,transfer,1,2
1094,iodata_394,step_137,transfer,1,1
1095,iodata_389,step_131,transfer,1,1
1098,step_132,iodata_392,transfer,1,3
1099,iodata_393,step_133,transfer,1,1
1101,iodata_395,step_134,transfer,1,1
1102,step_134,iodata_396,transfer,1,3
1104,step_52,iodata_398,transfer,1,1
1105,iodata_399,step_136,transfer,1,1
1106,iodata_400,step_136,transfer,1,1
1107,step_136,iodata_399,transfer,1,1
1108,iodata_402,step_137,transfer,1,1
1109,step_137,iodata_403,transfer,1,1
1110,iodata_217,step_37,transfer,1,10
1111,step_37,,transfer,1,1
1136,step_139,step_140,invoke,1,1
1137,step_139,"iodata_[110, 111]",transfer,1,4
1138,"iodata_[110, 111]",step_140,transfer,1,1
1139,step_140,step_141,invoke,1,1
1140,step_140,"iodata_[409, 410]",transfer,1,2
1141,"iodata_[409, 410]",step_141,transfer,1,1
1142,step_141,step_140,invoke,1,1
1143,step_141,"iodata_[409, 410]",transfer,1,1
1144,"iodata_[409, 410]",step_140,transfer,1,1
1145,"iodata_[110, 111]",step_139,transfer,1,1
1146,iodata_227,step_141,transfer,1,1
1147,iodata_217,step_140,transfer,1,1
1160,step_53,step_27,invoke,1,1
1161,step_53,"iodata_[182, 183]",transfer,1,3
1162,"iodata_[182, 183]",step_27,transfer,1,3
1163,step_27,step_145,invoke,1,1
1164,step_27,iodata_423,transfer,1,3
1165,iodata_423,step_145,transfer,1,2
1166,step_27,step_146,invoke,1,1
1168,iodata_423,step_146,transfer,1,1
1169,step_145,step_147,invoke,1,1
1170,step_145,iodata_425,transfer,1,2
1171,iodata_425,step_147,transfer,1,1
1172,step_146,step_147,invoke,1,1
1173,step_146,iodata_429,transfer,1,2
1174,iodata_429,step_147,transfer,1,1
1175,step_145,step_148,invoke,1,1
1177,iodata_425,step_148,transfer,1,1
1178,step_145,step_43,invoke,1,2
1179,step_145,"iodata_[425, 436]",transfer,1,1
1180,"iodata_[425, 436]",step_43,transfer,1,1
1181,step_147,step_60,invoke,1,2
1182,step_147,iodata_433,transfer,1,2
1183,iodata_433,step_60,transfer,1,1
1184,"iodata_[182, 183]",step_53,transfer,1,9
1185,iodata_417,step_53,transfer,1,1
1187,iodata_419,step_27,transfer,1,6
1188,iodata_54,step_27,transfer,1,3
1189,iodata_148,step_27,transfer,1,1
1190,iodata_2,step_27,transfer,1,6
1192,iodata_70,step_145,transfer,1,2
1193,iodata_2,step_146,transfer,1,1
1194,iodata_419,step_146,transfer,1,2
1195,iodata_428,step_146,transfer,1,1
1197,iodata_2,step_147,transfer,1,1
1198,iodata_193,step_147,transfer,1,1
1199,iodata_432,step_147,transfer,1,1
1201,iodata_434,step_148,transfer,1,1
1202,step_148,iodata_435,transfer,1,1
1203,step_43,iodata_437,transfer,1,1
1204,iodata_217,step_60,transfer,1,2
1235,step_154,step_155,invoke,1,1
1236,step_154,iodata_455,transfer,1,2
1237,iodata_455,step_155,transfer,1,1
1238,iodata_440,step_151,transfer,1,1
1239,iodata_163,step_151,transfer,1,1
1240,iodata_442,step_151,transfer,1,1
1241,step_151,iodata_443,transfer,1,1
1242,iodata_440,step_152,transfer,1,1
1243,iodata_163,step_152,transfer,1,1
1244,iodata_442,step_152,transfer,1,1
1245,step_152,iodata_447,transfer,1,1
1246,iodata_448,step_153,transfer,1,1
1247,step_153,iodata_449,transfer,1,1
1248,iodata_448,step_154,transfer,1,1
1249,iodata_451,step_154,transfer,1,1
1250,iodata_452,step_154,transfer,1,1
1251,iodata_453,step_154,transfer,1,1
1252,iodata_454,step_154,transfer,1,1
1254,iodata_448,step_155,transfer,1,1
1255,iodata_457,step_155,transfer,1,1
1256,iodata_458,step_155,transfer,1,1
1257,"iodata_[425, 436]",step_155,transfer,1,1
1258,step_155,iodata_455,transfer,1,1
1283,step_22,step_158,invoke,1,2
1284,step_22,iodata_305,transfer,1,19
1285,iodata_305,step_158,transfer,1,1
1286,step_48,step_66,invoke,1,6
1288,"iodata_[110, 111]",step_66,transfer,1,73
1289,step_48,step_160,invoke,1,1
1291,"iodata_[110, 111]",step_160,transfer,1,4
1292,step_66,step_161,invoke,1,4
1293,step_66,iodata_33,transfer,1,9
1294,iodata_33,step_161,transfer,1,2
1295,iodata_31,step_48,transfer,1,28
1297,iodata_11,step_48,transfer,1,6
1299,iodata_11,step_22,transfer,1,16
1300,step_158,iodata_469,transfer,1,1
1301,iodata_326,step_66,transfer,1,3
1303,iodata_326,step_160,transfer,1,1
1304,step_160,iodata_473,transfer,1,11
1305,"iodata_[18, 19]",step_161,transfer,1,1
1306,iodata_11,step_161,transfer,1,1
1307,step_161,iodata_476,transfer,1,1
1326,step_162,step_163,invoke,1,1
1327,step_162,iodata_478,transfer,1,2
1328,iodata_478,step_163,transfer,1,1
1329,step_163,step_164,invoke,1,1
1330,step_163,iodata_133,transfer,1,1
1331,iodata_133,step_164,transfer,1,1
1332,step_163,step_165,invoke,1,1
1333,step_163,"iodata_[480, 483]",transfer,1,1
1334,"iodata_[480, 483]",step_165,transfer,1,2
1335,step_164,step_165,invoke,1,1
1336,step_164,"iodata_[480, 483]",transfer,1,1
1339,step_165,"iodata_[484, 485]",transfer,1,1
1340,"iodata_[484, 485]",step_165,transfer,1,1
1341,iodata_477,step_162,transfer,1,1
1343,iodata_402,step_163,transfer,1,2
1344,iodata_402,step_164,transfer,1,1
1345,step_165,iodata_486,transfer,1,8
1359,step_167,step_22,invoke,1,53
1360,step_167,"iodata_[110, 111]",transfer,1,601
1362,step_22,step_167,invoke,1,3
1363,step_22,"iodata_[492, 493]",transfer,1,17
1364,"iodata_[492, 493]",step_167,transfer,1,3
1365,step_22,step_170,invoke,1,4
1367,iodata_77,step_170,transfer,1,1
1368,step_170,step_171,invoke,1,1
1369,step_170,"iodata_[119, 120]",transfer,1,1
1370,"iodata_[119, 120]",step_171,transfer,1,1
1371,iodata_31,step_167,transfer,1,245
1372,iodata_128,step_167,transfer,1,4
1373,iodata_491,step_22,transfer,1,7
1374,iodata_217,step_167,transfer,1,5
1375,step_167,iodata_495,transfer,1,9
1376,iodata_499,step_171,transfer,1,1
1377,step_171,iodata_486,transfer,1,2
1394,step_172,step_173,invoke,1,4
1395,step_172,iodata_31,transfer,1,100
1396,iodata_31,step_173,transfer,1,17
1397,step_173,step_22,invoke,1,7
1398,step_173,iodata_200,transfer,1,17
1399,iodata_200,step_22,transfer,1,11
1403,step_22,step_176,invoke,1,3
1405,iodata_77,step_176,transfer,1,4
1406,iodata_31,step_172,transfer,1,102
1407,iodata_198,step_172,transfer,1,1
1409,iodata_508,step_22,transfer,1,2
1410,step_22,"iodata_[294, 295]",transfer,1,17
1412,step_176,"iodata_[492, 493]",transfer,1,1
1429,step_177,step_178,invoke,1,1
1430,step_177,"iodata_[518, 520]",transfer,1,70
1431,"iodata_[518, 520]",step_178,transfer,1,1
1432,step_178,step_179,invoke,1,1
1433,step_178,iodata_70,transfer,1,1
1434,iodata_70,step_179,transfer,1,10
1435,step_179,step_180,invoke,1,1
1436,step_179,iodata_524,transfer,1,10
1437,iodata_524,step_180,transfer,1,1
1438,step_180,step_181,invoke,1,1
1439,step_180,"iodata_[527, 528]",transfer,1,5
1440,"iodata_[527, 528]",step_181,transfer,1,1
